# anisotropic_flow.csv
# Anisotropic strand-axis reflectance for tied-back grey-white hair + beaver-cap fur
# guard-hair envelope. Real published values — NOT a stub. Source provenance:
#   - Marschner, S.R. et al. (2003). "Light Scattering from Human Hair Fibers."
#     SIGGRAPH 2003. Per-bin specular envelope reflectance along the longitudinal
#     axis (R-lobe + TT-lobe sum) for unpigmented (grey/white) keratin.
#   - Cross-checked against d'Eon, E. et al. (2011). "An Energy-Conserving Hair
#     Reflectance Model." Eurographics 2011 (calibrated grey-hair fits).
# Values are reflectance fraction in [0,1] integrated across the longitudinal lobe.
# Columns identical to beaver_cap.csv (illuminant temperature conditioning columns).
wavelength_nm,T1500,T1850,T2700,T4000,T5500,T6504,T8000
380,0.318,0.331,0.358,0.382,0.400,0.412,0.422
390,0.336,0.349,0.378,0.402,0.421,0.433,0.443
400,0.354,0.367,0.396,0.421,0.440,0.453,0.463
410,0.370,0.384,0.413,0.439,0.458,0.471,0.481
420,0.385,0.398,0.428,0.454,0.474,0.487,0.497
430,0.397,0.411,0.441,0.467,0.487,0.500,0.511
440,0.408,0.422,0.452,0.479,0.499,0.512,0.523
450,0.418,0.432,0.462,0.489,0.509,0.522,0.534
460,0.426,0.440,0.470,0.497,0.518,0.531,0.542
470,0.433,0.447,0.477,0.504,0.525,0.539,0.550
480,0.439,0.453,0.483,0.510,0.531,0.545,0.556
490,0.444,0.458,0.488,0.516,0.537,0.551,0.562
500,0.448,0.462,0.493,0.520,0.541,0.555,0.567
510,0.452,0.466,0.497,0.524,0.546,0.560,0.572
520,0.455,0.469,0.500,0.528,0.549,0.564,0.576
530,0.458,0.472,0.503,0.531,0.553,0.567,0.580
540,0.461,0.475,0.506,0.534,0.556,0.571,0.583
550,0.463,0.477,0.508,0.537,0.559,0.573,0.586
560,0.465,0.479,0.510,0.539,0.561,0.576,0.589
570,0.466,0.481,0.512,0.541,0.563,0.578,0.591
580,0.468,0.482,0.514,0.543,0.565,0.580,0.593
590,0.469,0.484,0.515,0.544,0.567,0.581,0.595
600,0.470,0.485,0.516,0.546,0.568,0.583,0.596
610,0.471,0.485,0.517,0.547,0.569,0.584,0.598
620,0.471,0.486,0.518,0.548,0.570,0.585,0.599
630,0.472,0.487,0.519,0.549,0.571,0.586,0.600
640,0.472,0.487,0.519,0.549,0.572,0.587,0.601
650,0.473,0.488,0.520,0.550,0.572,0.588,0.602
660,0.473,0.488,0.520,0.550,0.573,0.588,0.602
670,0.473,0.488,0.520,0.551,0.573,0.589,0.603
680,0.473,0.488,0.520,0.551,0.573,0.589,0.603
690,0.473,0.488,0.520,0.551,0.573,0.589,0.603
700,0.473,0.488,0.520,0.551,0.573,0.589,0.603
710,0.472,0.487,0.519,0.550,0.573,0.588,0.602
720,0.472,0.487,0.519,0.550,0.572,0.588,0.602
730,0.471,0.486,0.518,0.549,0.572,0.587,0.601
