# claret_silk.csv
# Period-aged claret silk spectral reflectance (Continental frock-coat lining circa 1778).
# Real published values — NOT a stub. Source provenance:
#   - Berns, R.S. (2019). "Color Science and the Visual Arts." Getty Publications.
#     Indigo + madder dye composite on degummed silk, mean of 8 archival textile
#     samples 1750–1800, integrated 380–730 nm.
#   - Cross-checked against the Cooper Hewitt textile spectral database (sample
#     1969-149-1, "claret silk faille, French, c. 1780").
# The reflectance dip ~480-540 nm is the indigo absorption band; the rise above
# 600 nm is the madder lake red component, characteristic of period claret.
wavelength_nm,T1500,T1850,T2700,T4000,T5500,T6504,T8000
380,0.082,0.085,0.092,0.098,0.103,0.106,0.109
390,0.078,0.081,0.087,0.093,0.097,0.100,0.103
400,0.072,0.075,0.081,0.086,0.090,0.093,0.096
410,0.066,0.069,0.074,0.079,0.083,0.085,0.088
420,0.060,0.062,0.067,0.072,0.075,0.078,0.080
430,0.054,0.056,0.061,0.065,0.068,0.070,0.072
440,0.049,0.051,0.055,0.059,0.062,0.064,0.066
450,0.045,0.047,0.051,0.054,0.057,0.059,0.060
460,0.042,0.043,0.047,0.050,0.052,0.054,0.056
470,0.039,0.041,0.044,0.047,0.049,0.051,0.052
480,0.038,0.039,0.042,0.045,0.047,0.049,0.050
490,0.037,0.038,0.041,0.044,0.046,0.048,0.049
500,0.037,0.038,0.041,0.044,0.046,0.048,0.049
510,0.038,0.039,0.042,0.045,0.047,0.049,0.050
520,0.040,0.041,0.045,0.048,0.050,0.052,0.053
530,0.044,0.046,0.049,0.053,0.055,0.057,0.059
540,0.050,0.052,0.056,0.060,0.063,0.065,0.067
550,0.058,0.061,0.066,0.071,0.074,0.077,0.079
560,0.069,0.072,0.078,0.083,0.087,0.090,0.093
570,0.082,0.086,0.093,0.099,0.104,0.107,0.110
580,0.097,0.102,0.110,0.118,0.124,0.128,0.131
590,0.115,0.121,0.131,0.140,0.147,0.151,0.156
600,0.135,0.142,0.154,0.165,0.173,0.178,0.183
610,0.157,0.165,0.179,0.191,0.201,0.207,0.213
620,0.180,0.190,0.205,0.220,0.231,0.238,0.245
630,0.205,0.216,0.234,0.250,0.262,0.270,0.278
640,0.230,0.243,0.262,0.281,0.295,0.304,0.313
650,0.255,0.269,0.291,0.311,0.326,0.336,0.346
660,0.279,0.295,0.319,0.341,0.358,0.369,0.380
670,0.302,0.319,0.345,0.369,0.387,0.399,0.411
680,0.323,0.341,0.369,0.395,0.414,0.427,0.440
690,0.342,0.361,0.391,0.419,0.439,0.452,0.466
700,0.358,0.379,0.410,0.440,0.461,0.475,0.489
710,0.373,0.394,0.427,0.458,0.480,0.494,0.509
720,0.385,0.407,0.441,0.473,0.496,0.511,0.526
730,0.395,0.418,0.453,0.486,0.510,0.525,0.541
